rule_id,perspective,room_type,object_class,preferred_zones,avoided_zones,preferred_colors,avoided_colors,severity,rationale,source_urls,confidence
VR-020,placement,bedroom,table,N;E;NE,SW,wood;cream,,info,"Bedside or reading tables are lighter objects and can sit in north, east, or north-east when practical.","https://en.wikipedia.org/wiki/Vastu_shastra;https://en.wikipedia.org/wiki/Hindu_temple_architecture",0.5
VR-021,placement,study,desk,E;N;NE,SW,wood;cream,,warn,Study desks are commonly oriented to support work facing east or north when the room allows.,"https://en.wikipedia.org/wiki/Vastu_shastra;https://en.wikipedia.org/wiki/Hindu_temple_architecture",0.61
VR-022,orientation,study,chair,E;N,S;W,,,info,Study seating is commonly preferred so the user faces north or east while working.,"https://en.wikipedia.org/wiki/Vastu_shastra;https://en.wikipedia.org/wiki/Hindu_temple_architecture",0.58
VR-023,placement,study,storage,S;W;SW,NE,wood;earth,,warn,Bookcases and document storage are heavy study objects and are preferred in south or west zones.,"https://en.wikipedia.org/wiki/Vastu_shastra;https://en.wikipedia.org/wiki/Hindu_temple_architecture",0.6
VR-024,placement,study,lamp,SE;E,NW,warm white;yellow,,info,"Task lamps are light and fire-associated objects, so south-east or east placement is acceptable.","https://en.wikipedia.org/wiki/Vastu_shastra;https://en.wikipedia.org/wiki/Hindu_temple_architecture",0.52
VR-025,color,study,desk,N;E,,cream;green;light blue,black,info,Light study colors are traditionally preferred for focus and a calmer work setting.,"https://en.wikipedia.org/wiki/Vastu_shastra;https://en.wikipedia.org/wiki/Hindu_temple_architecture",0.46
VR-026,placement,kitchen,stove,SE,N;NE,,,critical,Popular Vastu guidance associates cooking fire with the south-east and avoids placing it in north-east.,"https://en.wikipedia.org/wiki/Vastu_shastra;https://en.wikipedia.org/wiki/Hindu_temple_architecture",0.63
VR-027,orientation,kitchen,stove,E,W,,,warn,Cooking while facing east is a common traditional recommendation when kitchen layout permits it.,"https://en.wikipedia.org/wiki/Vastu_shastra;https://en.wikipedia.org/wiki/Hindu_temple_architecture",0.55
VR-028,placement,any,water_feature,N;NE,SE,,,warn,Water features are commonly associated with north or north-east and kept away from the fire-oriented south-east.,"https://en.wikipedia.org/wiki/Vastu_shastra;https://en.wikipedia.org/wiki/Hindu_temple_architecture",0.54
VR-029,clearance,any,central_clearance,C,,cream,,warn,Traditional grid guidance treats the center as a calm organizing area and discourages heavy obstruction.,"https://en.wikipedia.org/wiki/Vastu_shastra;https://en.wikipedia.org/wiki/Hindu_temple_architecture",0.59
VR-030,color,any,heavy_furniture,S;W;SW,,earth;wood;cream,neon,info,Grounded earth and wood tones are preferred for heavy furniture when Vastu styling is requested.,"https://en.wikipedia.org/wiki/Vastu_shastra;https://en.wikipedia.org/wiki/Hindu_temple_architecture",0.45
